"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [°]","Maximum gust speed [m/s]","Precipitation [mm]","Average air pressure [hPa]"
"Vantaa Helsinki-Vantaa airport","2024","8","20","00:00","13.1","13.7","12.3","77","3.1","3.7","319","4.6","0","1015.1"
"Vantaa Helsinki-Vantaa airport","2024","8","20","01:00","12","12.8","10.3","82","1.6","3","319","3.8","0","1015.8"
"Vantaa Helsinki-Vantaa airport","2024","8","20","02:00","10.2","12.1","9","89","1.7","2.3","251","2.6","0","1016.3"
"Vantaa Helsinki-Vantaa airport","2024","8","20","03:00","8.8","10.6","7.8","94","0.7","1.9","264","1.7","0","1016.8"
"Vantaa Helsinki-Vantaa airport","2024","8","20","04:00","8.1","9","7","96","0.9","1.4","289","1.8","0","1017.4"
"Vantaa Helsinki-Vantaa airport","2024","8","20","05:00","7.4","8.2","6.7","96","0.8","1.3","314","1.7","0","1017.7"
"Vantaa Helsinki-Vantaa airport","2024","8","20","06:00","6.7","7.4","5.9","96","1.1","1.3","340","4.2","0","1017.9"
"Vantaa Helsinki-Vantaa airport","2024","8","20","07:00","7.2","8.7","5.5","97","1.3","1.7","319","2","0","1018.2"
"Vantaa Helsinki-Vantaa airport","2024","8","20","08:00","10.2","11.7","7.9","94","1.1","1.3","345","1.9","0","1018.4"
"Vantaa Helsinki-Vantaa airport","2024","8","20","09:00","13.6","14.9","11.9","84","0.7","1.2","6","1.3","0","1018.4"
"Vantaa Helsinki-Vantaa airport","2024","8","20","10:00","16.6","18","14.9","71","0.7","1","119","2.1","0","1018.5"
"Vantaa Helsinki-Vantaa airport","2024","8","20","11:00","18.2","19.3","17.6","60","1.4","2.1","199","3.4","0","1018.6"
"Vantaa Helsinki-Vantaa airport","2024","8","20","12:00","19.4","20.1","18.6","53","1.6","2.6","215","5.3","0","1018.8"
"Vantaa Helsinki-Vantaa airport","2024","8","20","13:00","20.4","21","19.8","48","1.9","3","185","4.5","0","1018.7"
"Vantaa Helsinki-Vantaa airport","2024","8","20","14:00","20.9","21.6","20.4","49","3.2","4.7","177","7.9","0","1018.5"
"Vantaa Helsinki-Vantaa airport","2024","8","20","15:00","21","21.6","20.4","52","4.1","5.6","191","7.5","0","1018.4"
"Vantaa Helsinki-Vantaa airport","2024","8","20","16:00","20.8","21.3","20.2","55","4","5.5","190","7.1","0","1018.3"
"Vantaa Helsinki-Vantaa airport","2024","8","20","17:00","20.9","21.5","20.5","52","2.9","3.6","179","6","0","1018.1"
"Vantaa Helsinki-Vantaa airport","2024","8","20","18:00","20.9","21.3","20.5","50","2.5","3.2","181","5","0","1017.8"
"Vantaa Helsinki-Vantaa airport","2024","8","20","19:00","20.9","21.3","20.4","46","2.7","3.2","185","6","0","1017.4"
"Vantaa Helsinki-Vantaa airport","2024","8","20","20:00","19.7","20.5","18.6","48","3.8","4.5","159","5.8","0","1017.3"
"Vantaa Helsinki-Vantaa airport","2024","8","20","21:00","17.5","18.6","16.6","64","3.8","4.4","155","5.8","0","1017.4"
"Vantaa Helsinki-Vantaa airport","2024","8","20","22:00","15.5","16.6","12.6","78","2.2","3.1","125","3.3","0","1017.3"
"Vantaa Helsinki-Vantaa airport","2024","8","20","23:00","11.8","12.7","11.1","92","1.5","1.7","102","3.2","0","1017.2"
