"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [°]","Maximum gust speed [m/s]","Precipitation [mm]","Average air pressure [hPa]"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","00:00","11.7","12.2","10.6","90","1.3","2","221","2.4","-","1015.3"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","01:00","10.1","11.4","9.6","95","0.4","1.7","186","1.2","-","1016"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","02:00","9.5","10","8.9","97","0.6","1.1","184","1.7","-","1016.3"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","03:00","8.5","9.6","7.8","98","0.5","0.7","114","1","-","1016.7"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","04:00","8.1","8.5","7.7","98","1","2","141","2.3","-","1017.2"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","05:00","7.6","8","7.4","98","0.4","0.5","183","0.9","-","1017.3"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","06:00","7.2","7.6","6.7","98","0.5","0.7","137","1","-","1017.4"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","07:00","7.8","9.7","7","99","0.6","0.9","201","1.4","-","1017.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","08:00","10.1","10.7","9.2","100","1.6","2.3","157","2.9","-","1017.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","09:00","11.6","12.5","10.8","97","1.9","2.3","165","3.3","-","1017.9"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","10:00","14.1","15.7","12.5","90","2.5","2.7","171","4.3","-","1017.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","11:00","16.2","17.2","15.4","76","2.9","3.4","163","5.3","-","1017.9"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","12:00","17.2","17.9","16.4","68","3.5","4","174","6.4","-","1017.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","13:00","18.2","19.1","16.9","63","3.3","3.7","166","5.6","-","1017.7"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","14:00","19.9","20.7","18.8","57","3.4","4.6","183","6.9","-","1017.3"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","15:00","20.4","21.2","19.9","54","3.7","4.2","194","6.8","-","1017.1"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","16:00","21","21.7","20.2","52","4.1","4.5","195","7.9","-","1016.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","17:00","20.9","21.4","20.6","51","3.4","4.2","189","6.3","-","1016.6"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","18:00","20.8","21.2","20.4","54","3","3.9","192","5.9","-","1016.3"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","19:00","20.6","21","20.3","55","3.2","4.2","187","6.6","-","1015.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","20:00","19.8","20.3","19.3","59","2.5","3.7","179","5.1","-","1015.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","21:00","18.2","19.3","16.9","68","1.8","2.1","164","2.6","-","1015.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","22:00","16.4","17.1","15.5","70","2.4","2.6","177","3.4","-","1015.9"
"Pirkkala Tampere-Pirkkala airport","2024","8","20","23:00","14.4","15.4","13.5","76","2.1","2.5","176","3.5","-","1016.1"
