"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [°]","Maximum gust speed [m/s]","Precipitation [mm]","Average air pressure [hPa]"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","00:00","14.1","14.3","13.6","80","2.6","2.9","192","4.6","-","1008.4"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","01:00","13.5","13.8","13.2","84","2.9","3.5","196","5.3","-","1008.4"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","02:00","13.4","13.7","13.1","87","3.1","3.4","189","5","-","1008.2"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","03:00","13.3","13.6","13.1","90","3.1","3.3","196","5.6","-","1008.3"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","04:00","13.6","13.7","13.4","91","3.1","3.5","196","5.5","-","1008"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","05:00","13.1","13.5","12.8","93","2.9","3.5","189","6.4","-","1007.9"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","06:00","12.8","12.9","12.5","95","2.5","3","178","5.1","-","1007.8"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","07:00","13.1","13.6","12.7","94","2.6","3","180","4.7","-","1007.7"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","08:00","14","14.6","13.6","92","3.3","3.6","197","5.3","-","1007.6"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","09:00","14.8","15.3","14.5","89","4","4.7","206","7.1","-","1007.4"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","10:00","15.7","16.5","15.2","84","4.9","5.8","222","8.5","-","1007.4"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","11:00","16.9","17.8","16.4","74","5.9","6.7","235","9.9","-","1007.7"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","12:00","17.8","19.1","16.7","67","6.5","7.3","233","10.5","-","1007.9"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","13:00","18.5","19.2","17.6","63","7","7.9","241","10.4","-","1008.2"
"Pirkkala Tampere-Pirkkala airport","2024","8","19","14:00","18.9","19.9","17.7","58","7.5","9.2","252","12.6","-","1008.7"
